"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 21:53:56 AEDT 2019","Sun Mar 24 21:54:00 AEDT 2019","3966","","Test 01: Login to the Officeworks website with right Crdential","","Test 01: Login to the Officeworks website with right Crdential","Click on the Login button","Click on the Login button",""
"passed","Sun Mar 24 21:54:53 AEDT 2019","Sun Mar 24 21:54:57 AEDT 2019","3715","","Test 03: Logout from the Officeworks website","","Test 03: Logout from the Officeworks website","Logout from the System","Logout from the System",""
"passed","Sun Mar 24 21:53:53 AEDT 2019","Sun Mar 24 21:53:56 AEDT 2019","3727","","Test 01: Login to the Officeworks website with right Crdential","","Test 01: Login to the Officeworks website with right Crdential","Input the Password","Input the Password",""
"passed","Sun Mar 24 21:54:14 AEDT 2019","Sun Mar 24 21:54:21 AEDT 2019","7113","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Add First Two Products to Cart","Add First Two Products to Cart",""
"passed","Sun Mar 24 21:53:48 AEDT 2019","Sun Mar 24 21:53:53 AEDT 2019","4118","","Test 01: Login to the Officeworks website with right Crdential","","Test 01: Login to the Officeworks website with right Crdential","Input the Email address","Input the Email address",""
"passed","Sun Mar 24 21:54:57 AEDT 2019","Sun Mar 24 21:55:00 AEDT 2019","3585","","Test 03: Logout from the Officeworks website","","Test 03: Logout from the Officeworks website","Validate Login Button is Displayed","Validate Login Button is Displayed",""
"passed","Sun Mar 24 21:54:30 AEDT 2019","Sun Mar 24 21:54:37 AEDT 2019","6544","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Validate Both the Phones are available in the Cart Page ","Validate Both the Phones are available in the Cart Page ",""
"passed","Sun Mar 24 21:54:00 AEDT 2019","Sun Mar 24 21:54:04 AEDT 2019","3637","","Test 01: Login to the Officeworks website with right Crdential","","Test 01: Login to the Officeworks website with right Crdential","Validate Logout Button is Displayed","Validate Logout Button is Displayed",""
"passed","Sun Mar 24 21:54:41 AEDT 2019","Sun Mar 24 21:54:44 AEDT 2019","3627","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Remove the 2nd Product from the Cart Page","Remove the 2nd Product from the Cart Page",""
"passed","Sun Mar 24 21:54:44 AEDT 2019","Sun Mar 24 21:54:53 AEDT 2019","8730","","Test 03: Logout from the Officeworks website","","Test 03: Logout from the Officeworks website","Click on the Officeworks Top Logo","Click on the Officeworks Top Logo",""
"passed","Sun Mar 24 21:53:41 AEDT 2019","Sun Mar 24 21:53:48 AEDT 2019","6901","","Test 01: Login to the Officeworks website with right Crdential","","Test 01: Login to the Officeworks website with right Crdential","Open the Officeworks Home page","Open the Officeworks Home page",""
"passed","Sun Mar 24 21:54:37 AEDT 2019","Sun Mar 24 21:54:41 AEDT 2019","3677","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Remove the 1st Product from the Cart Page","Remove the 1st Product from the Cart Page",""
"passed","Sun Mar 24 21:54:04 AEDT 2019","Sun Mar 24 21:54:14 AEDT 2019","10363","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Go to Technology > iPhones & Mobile Phones > iPhones","Go to Technology > iPhones & Mobile Phones > iPhones",""
"passed","Sun Mar 24 21:54:21 AEDT 2019","Sun Mar 24 21:54:30 AEDT 2019","9134","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","","Test 02: Go to Technology > iPhones & Mobile Phones > iPhones and Add First Two Phones","Go to the Shoping Cart Page","Go to the Shoping Cart Page",""
